Project,Date,User,Activity,Issue,Comment,Hours,Sequencing
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-15,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,13:00 - 0:30,11.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-14,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,12:00 - 13:00;  16:00 - 19:00; 21:00 -  1:00; Übertragen der Hälfte des Redmine-Wiki in ein Latex-Dokument,8.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-13,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,"11:00 - 20:45 Korrekturlesen der Artikel Shibboleth, Datenbankanbindung und Anzeigen von Ebooks in WPF",20.75,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-12,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,11:00 - 17:00  Recherche Doku Shibboleth,5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-11,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,12:00 - 21:30; Recherche Doku Shibboleth,9.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-10,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,14:00 - 19:00; Recherche und Doku Shibboleth,5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-09,Twilight Sparkle,Development,Task #278039: Ersetzung von PdfBox durch Ghostscript.net,"11:30 - 20:30 Vollständige Ersetzung von PdfBox durch Ghostscript.Net, Kein JNI mehr nötig (Projekt wurde gelöscht), PdfBox entfernt, Wrapper Java Klasse entfernt. Generieren der Bilder läuft im eigenen Thread und stoppt die Hauptanwendung nicht",9.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-08,Twilight Sparkle,Development,Task #278039: Ersetzung von PdfBox durch Ghostscript.net,"15:00 - 18:00 Anf#ngliche Arbeiten zum ersetzen von PdfBox durch Ghostscript.Net. Tests, erstes Schreiben von Bildern auf die Festplatte",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-03-07,Twilight Sparkle,Development,Task #257821: Abschlussbericht erstellen,"19:00 - 24:00 Dokumentation der Anzeige der Pdf-Dateien innerhalb von WPF; Dokumentiert: MoonPdf, Windows Forms Host, XPS Writer, PdfBox, Ghostscript.Net",5.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-02-20,Twilight Sparkle,Planning,Task #271806: Recherche Anzeige PDF in WPF (NuGet Packet Ghostscript.Net),22:00 - 02:00;,4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-21,Twilight Sparkle,Development,Task #251673: eBook Vorschau,17:30 - 01:45,8.25,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-20,Twilight Sparkle,Development,Task #251337: Recherche / Anbindung Datenbanken,"0:00 - 4:00 Recherche für IEEE, Benoetigt Cookies, benoetigt User-Agent Angabe",4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-18,Twilight Sparkle,Development,Task #250450: Bibliothekskommission - Vorstellung,13:30 - 15:30,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-11,Twilight Sparkle,Development,Task #241513: Jahrespräsentation vorbereiten,8:00 - 11:00 Zwischenpräsentation,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-10,Twilight Sparkle,Development,Task #241513: Jahrespräsentation vorbereiten,15:00 - 17:00 Probe vor der Zwischenpräsentation mit Table,2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-03,Twilight Sparkle,Development,Task #241513: Jahrespräsentation vorbereiten,16:00 - 22:00 Stichpunkte und Prezi vorbereitet,6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-02,Twilight Sparkle,Development,Task #241513: Jahrespräsentation vorbereiten,13:00 - 16:30 Stichpunkte und Prezi vorbereitet,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-12-02,Twilight Sparkle,Development,Task #241513: Jahrespräsentation vorbereiten,"13:30 - 17:00; Stichpunkte gekürzt, diverse Screenshots erstellt, auf Dropbox hochgeladen und verlinkt, neues Design in XAML umgewandelt",3.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-26,Twilight Sparkle,Development,Task #242519: Science Slam - A. Johr,13:00 - 15:00; Vorbereitung/Feinschliff Cybrary für Science Slam; 15:00-19:00 Uhr Beaufsichtigung und Präsentation des akt. Projektstandes,6.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-25,Twilight Sparkle,Development,Task #238208: Lösung für schlechten PDF Viewer finden,15:00-17:00; 20:30-21:30,3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-24,Twilight Sparkle,Development,Task #241560: Virtuelle Tastatur einbinden,"20:30 - 22:00  WPF Touch Screen Keyboard eingebunden, Nicht eingecheckt da das Ergebnis nicht erzielt wurde.",1.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2013-11-24,Twilight Sparkle,Development,Support #241537: Kommunikation / Klären / Schlichten / Beraten,19:15 - 20:15,1.00,""
