Project,Date,User,Activity,Issue,Comment,Hours,Sequencing
Cybrary (Jahresprojekt TouchTable HsHarz),2014-05-01,Ditzy Doo,Development,Task #293939: Sicherheit,"11 - 11:30 Bios Passwort gesetzt, Boot Option konnten nicht Festgelegt werden. Möglichkeit wäre System neu aufsetzten mit einem UEFI Sicherheitscode in der Festplatte. weitere Informationen Alex",0.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-05-01,Ditzy Doo,Development,Task #285084: Merkzettel-Bearbeitung,14-16:30 ToXML umbau auf Serializer (Problem: Einige Klassen lassen sich nicht Serialisieren),2.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-05-01,Ditzy Doo,Development,Task #296164: Login System,"12:30-14 Uhr Apache und Shibboleth Installiert,(Problem: Shibboleth mit Apache verbinden)",2.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-30,Fluttershy,Development,Task #286623: Datenbanken Anbindung,"11:30 - 14:00; Ackermann und Marc Tisch sägen /streichen ; OPAC Suche vorbereitet, Dokuvideo zur Opac Suche erstellt.",2.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-30,Twilight Sparkle,Development,Task #286623: Datenbanken Anbindung,"11:30 - 14:00; Schibboleth Anleitung an Christopher gegeben; OPAC Suche vorbereitet, Dokuvideo zur Opac Suche erstellt.",2.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-30,Ditzy Doo,Development,Task #285084: Merkzettel-Bearbeitung,"Optimierung des XML speichern des Merkzettels (Problem: XML Serialisation erzeugt keine Datei, Uri kann nicht Serialisiert werden)",3.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-30,Ditzy Doo,Development,Task #285084: Merkzettel-Bearbeitung,Informationsanzeige eingebettet und Optimiert (Problem: Unterschiedliche Größen der Cover und zugriff per Button auf das Grid),2.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-30,Ditzy Doo,Development,Task #285084: Merkzettel-Bearbeitung,Einarbeitung XML Serialization,1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-29,Rarity,Development,Task #295707: MediaWiki,"Versuch Nutzung mediawiki2latex ---> unter Windows nicht funktionsfähig, 14:30 - 17:00 ",2.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-28,Rarity,Development,Task #295707: MediaWiki,"Recherce, Free Webhoster finden, MediaWiki installieren und konfigurieren, 15:00 - 16:00 und 17:00 - 20:00",4.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-27,Maud Pie,Development,Task #282210: Bluetooth,DO 24.04.2014 10-12Uhr 12:30 - 15Uhr Zwischenspeicherung der zu Herunterladenden Dateien realisiert.,4.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-24,Twilight Sparkle,Development,Task #282210: Bluetooth,10:00 - 12:00; 12:30 - 14:00; Download und Cache der Ebooks implementiert. TUIO Win8.1 Problem entdeckt,3.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-24,Applejack,Development,Task #233102: Libov,ca. 12:00-12:30 Uhr; Treffen mit Frau Peters für ein Feedback zu Libov,0.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-24,Fluttershy,Development,Task #293939: Sicherheit,10:45 - 11:00 gespräch mit Herrn Rohr über Sophos installation; 15:45-17:00 uhr installation sophos auf dem Touchtisch,1.50,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-23,Rarity,Development,Task #295705: Dokumentation Datenbankanbindung,"Springer Link Doku, nicht fertig, 8:00 - 9:00",1.00,""
Cybrary (Jahresprojekt TouchTable HsHarz),2014-04-23,Fluttershy,Development,Task #293887: Configurationsmanager,11:30 - 13:45; Configurationsmanager erstellt Serialisierung und Deserialisierung der Systemconfiguration vorbereitet,2.25,""
